AQS_ID,MPCAID,City,Site_Name,Report_Name,RegionName,ReportRegion2,Address,Date.Site.Established,Date.Site.Terminated,State.or.Local.ID,County,County.Code,FIPS
27-003-1002,6010,Blaine,Ncore,Blaine,Metro,Suburban,9939 Lima St,5/1/1979,,6010,Anoka,3,27003
27-003-6020,6020,Anoka,Federal Cartridge,Anoka,Metro,Suburban,900 Ehlen Dr,1/1/2010,,6020,Anoka,3,27003
27-007-2303,2303,Red Lake,Red Lake,Red Lake,Northern,Tribal,15700 Weasel Rd,1/1/2011,,2303,Beltrami,7,27007
27-017-7416,7416,Cloquet,Cloquet,Cloquet,Northern,Tribal,175 University Rd.,5/24/2001,,7416,Carlton,17,27017
27-019-0052,52,Chaska,Chaska Water Tower,Chaska,Metro,Suburban,Chaska Water Tower,11/10/2002,12/31/2007,52,Carver,19,27019
27-037-0020,420,Rosemount,FHR 420,Flint Hills (420),Metro,Industrial,12821 Pine Bend Trail,1/1/1972,,420,Dakota,37,27037
27-037-0421,421,Inver Grove Heights,N of Flint Hills,Inver Grove Heights,Metro,Industrial,3134 117th E.,8/4/2003,8/10/2007,421,Dakota,37,27037
27-037-0423,423,Rosemount,FHR 423,Flint Hills (423),Metro,Industrial,2142 120th St. E,9/1/1990,,423,Dakota,37,27037
27-037-0442,442,Rosemount,FHR 442,Flint Hills (442),Metro,Industrial,County Rd. 42,5/30/2000,,442,Dakota,37,27037
27-037-0443,443,Rosemount,FHR 443,Flint Hills (443),Metro,Industrial,14035 Blaine Ave E.,1/1/2007,,,Dakota,37,27037
27-037-0465,465,Eagan,Gopher Resources,Eagan-Gopher,Metro,Industrial,149 & Yankee Doodle Rd.,1/1/2006,,465,Dakota,37,27037
27-037-0441,441,Rosemount,FHR 441,Flint Hills (441),Metro,Industrial,12555 Clayton Ave.,5/25/1999,12/18/2007,441,Dakota,37,27037
27-037-0470,470,Apple Valley,Apple Valley,Apple Valley,Metro,Suburban,225 Garden View Dr.,10/3/2000,,470,Dakota,37,27037
27-053-0053,945,Minneapolis,Mpls Library,Mpls Library,Metro,Urban,300 Nicollet Mall,8/1/1978,12/31/2003,,Hennepin,53,27053
27-053-0961,961,Richfield,Richfield Int. Sch.,Richfield,Metro,Suburban,7020 12th Ave. S.,4/12/1999,,961,Hennepin,53,27053
27-053-0962,962,Minneapolis,Near-Road NOX,Near-Road NOX,Metro,Urban,1444 E 18th St,1/1/2013,,962,Hennepin,53,27053
27-053-0050,940,Minneapolis,NE Fire Station,Mpls-NE Fire Station,Metro,Urban,143 13th Ave NE,1/1/1978,1/1/2007,,Hennepin,53,27053
27-053-0964,964,Minneapolis-St Paul International Airport,MSP Airport,MSP Airport (964),Metro,Urban,MSP Airport,2/1/2002,,,Hennepin,53,27053
27-053-0965,965,Minneapolis,Putnam School,Mpls-Putnam School,Metro,Urban,1616 Buchanan St.,6/6/2002,1/1/2007,,Hennepin,53,27053
27-053-0966,966,Minneapolis,City of Lakes,Mpls-City of Lakes,Metro,Urban,309 2nd Ave S.,10/7/2002,,966,Hennepin,53,27053
27-053-0963,963,Minneapolis,HC Anderson Sch.,Mpls-Phillips,Metro,Urban,2727 - 10th Ave. So.,1/1/2001,,963,Hennepin,53,27053
27-053-0968,968,Minneapolis,MSP Airport,MSP Airport (968),Metro,Urban,6040 28th Ave. S,6/1/2004,1/1/2007,,Hennepin,53,27053
27-053-0969,969,Minneapolis,Wenonah School,Mpls-Wenonah School,Metro,Urban,5625 28th Ave. S.,4/8/2005,,969,Hennepin,53,27053
27-053-1007,907,Minneapolis,Humboldt Ave.,Mpls-N Humboldt Ave ,Metro,Urban,4646 N Humboldt,1/1/1966,,907,Hennepin,53,27053
27-053-0967,967,Minneapolis,Shaw Lumber,Mpls-Shaw Lumber,Metro,Urban,645 Johnson St.,4/23/2004,4/17/2006,,Hennepin,53,27053
27-053-2006,250,St. Louis Park,St. Louis Park,St. Louis Park,Metro,Suburban,5005 Minnetonka Blvd,1/1/1972,,250,Hennepin,53,27053
27-075-0005,7001,Ely,Fernberg Rd.,Ely,Northern,Northern,Fernberg Road,1/1/1977,,7001,Lake,75,27075
27-095-3051,3051,Mille Lacs,Mille Lacs,Mille Lacs,Central,Tribal,HCR 67 BOX 194,6/17/1997,,3051,Mille Lacs,95,27095
27-123-0017,816,St. Paul,Holman Field,St. Paul-Holman Field,Metro,Urban,HOLMAN FIELD,1/1/1966,1/1/2007,,Ramsey,123,27123
