"","groupid","groupid2","MPCAID","parameter","Pollutant","poc","year","scheduled","count_valid","pct_complete","count_zero","pct_zero","count_detect","pct_detect","average","X2nd_high","std_dev","confidence.95.","CAS","Site","AQS_ID_text","AQS_ID_num","City","Site_Name","Report_Name","RegionName","Region2","Site_Description","Address","UTM_zone","UTM_easting","UTM_north","km_mean","km_sd","km_UCL"
"1","420.43207.1","420.43207.1.2002",420,43207,"Freon 113",1,2002,61,59,0.967213115,6,0.101694915,10,0.169491525,0.433979661,1.4715,0.284447303,0.074127371,"76-13-1","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.67614068,0.161670336,0.718272199
"2","420.43502.1","420.43502.1.2002",420,43502,"Formaldehyde",1,2002,61,58,0.950819672,0,0,58,1,2.21102931,8.6028,2.190902701,0.576068499,"50-00-0","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,2.21102931,2.210037585,2.79212907
"3","420.43503.1","420.43503.1.2002",420,43503,"Acetaldehyde",1,2002,61,58,0.950819672,0,0,58,1,0.978622414,2.1512,0.839553817,0.220749423,"75-07-0","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.97862241,0.846886304,1.201299812
"4","420.43504.1","420.43504.1.2002",420,43504,"Propionaldehyde",1,2002,61,60,0.983606557,4,0.066666667,56,0.933333333,0.143876667,0.7123,0.139692555,0.036086413,"123-38-6","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.14512333,0.139734424,0.181220559
"5","420.43510.1","420.43510.1.2002",420,43510,"Butyraldehyde",1,2002,61,59,0.967213115,1,0.016949153,58,0.983050847,0.148964407,0.4852,0.094880653,0.024726033,"123-72-8","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.14948814,0.094961522,0.174235247
"6","420.43804.1","420.43804.1.2002",420,43804,"Carbon Tetrachloride",1,2002,61,58,0.950819672,0,0,42,0.724137931,0.536263793,0.8493,0.184597327,0.048537393,"56-23-5","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.57358276,0.132587769,0.608444937
"7","420.43811.1","420.43811.1.2002",420,43811,"Trichlorofluoromethane",1,2002,61,59,0.967213115,0,0,59,1,1.331271186,1.7867,0.210762351,0.054924968,"75-69-4","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,1.33127119,0.212571503,1.386667625
"8","420.43823.1","420.43823.1.2002",420,43823,"Dichlorodifluoromethane",1,2002,61,59,0.967213115,0,0,59,1,2.464049153,3.4963,0.497215867,0.129575161,"75-71-8","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,2.46404915,0.501483892,2.594736564
"9","420.45109.1","420.45109.1.2002",420,45109,"M/P Xylene",1,2002,61,58,0.950819672,0,0,33,0.568965517,0.5514,1.5589,0.340803665,0.089609756,"0","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.60954828,0.298142889,0.687940956
"10","420.45201.1","420.45201.1.2002",420,45201,"Benzene",1,2002,61,58,0.950819672,0,0,58,1,0.836181034,1.7762,0.361567272,0.095069268,"71-43-2","Rosemount (420)","27-037-0020",270370020,"Rosemount","FHR 420","Flint Hills (420)","Metro","Industrial","0","12821 Pine Bend Trail",15,497430,4956651,0.83618103,0.364725124,0.932080613
