"AQS_ID","groupid","year","MPCAID","groupid2","City","RegionName","Pollutant","CAS","parameter","count_detect","pct_detect","Second_Highest","km_mean","km_sd","km_UCL","lat","long","SiteId","Boot_Means","Boot_UCL","Site_Name","County"
"27-003-1002","6010.12101.1",2013,6010,"6010.12101.1.2013","Blaine","Metro","Aluminum","7429-90-5",12101,35,"58%",0.36514,0.1145,0.1083,0.1425,45.1407,-93.222,"6010  -  Blaine",0.1163,0.1417,"Ncore","Anoka"
"27-003-1002","6010.12102.1",2013,6010,"6010.12102.1.2013","Blaine","Metro","Antimony","7440-36-0",12102,8,"13%",0.0038969,0.002283,0.000383,0.002382,45.1407,-93.222,"6010  -  Blaine",0.002346,0.002623,"Ncore","Anoka"
"27-003-1002","6010.12103.1",2013,6010,"6010.12103.1.2013","Blaine","Metro","Arsenic","7440-38-2",12103,11,"18%",0.0040462,0.001838,0.0006218,0.001999,45.1407,-93.222,"6010  -  Blaine",0.001893,0.002176,"Ncore","Anoka"
"27-003-1002","6010.12107.1",2012,6010,"6010.12107.1.2012","Blaine","Metro","Barium","7440-39-3",12107,34,"58%",0.052753,0.02415,0.01592,0.0283,45.1407,-93.222,"6010  -  Blaine",0.02456,0.02855,"Ncore","Anoka"
"27-003-1002","6010.12107.1",2013,6010,"6010.12107.1.2013","Blaine","Metro","Barium","7440-39-3",12107,23,"38%",0.017665,0.01033,0.002936,0.01109,45.1407,-93.222,"6010  -  Blaine",0.01043,0.01117,"Ncore","Anoka"
"27-003-1002","6010.12112.1",2012,6010,"6010.12112.1.2012","Blaine","Metro","Chromium","7440-47-3",12112,15,"25%",0.012559,0.003366,0.003546,0.00429,45.1407,-93.222,"6010  -  Blaine",0.003455,0.004321,"Ncore","Anoka"
"27-003-1002","6010.12112.1",2013,6010,"6010.12112.1.2013","Blaine","Metro","Chromium","7440-47-3",12112,44,"73%",0.0091374,0.001992,0.001842,0.002468,45.1407,-93.222,"6010  -  Blaine",0.001996,0.002413,"Ncore","Anoka"
"27-003-1002","6010.12114.1",2012,6010,"6010.12114.1.2012","Blaine","Metro","Copper","7440-50-8",12114,21,"36%",0.60871,0.1652,0.2385,0.2274,45.1407,-93.222,"6010  -  Blaine",0.1698,0.2278,"Ncore","Anoka"
"27-003-1002","6010.12114.1",2013,6010,"6010.12114.1.2013","Blaine","Metro","Copper","7440-50-8",12114,31,"52%",0.34932,0.159,0.09548,0.1837,45.1407,-93.222,"6010  -  Blaine",0.1663,0.201,"Ncore","Anoka"
"27-003-1002","6010.12126.1",2012,6010,"6010.12126.1.2012","Blaine","Metro","Iron","7439-89-6",12126,59,"100%",0.82525,0.3794,0.2384,0.4415,45.1407,-93.222,"6010  -  Blaine",0.379,0.4308,"Ncore","Anoka"
"27-003-1002","6010.12126.1",2013,6010,"6010.12126.1.2013","Blaine","Metro","Iron","7439-89-6",12126,60,"100%",0.82063,0.3209,0.2222,0.3783,45.1407,-93.222,"6010  -  Blaine",0.3212,0.368,"Ncore","Anoka"
"27-003-1002","6010.12132.1",2012,6010,"6010.12132.1.2012","Blaine","Metro","Manganese","7439-96-5",12132,58,"98%",0.046456,0.01421,0.01187,0.01731,45.1407,-93.222,"6010  -  Blaine",0.01424,0.0169,"Ncore","Anoka"
"27-003-1002","6010.12132.1",2013,6010,"6010.12132.1.2013","Blaine","Metro","Manganese","7439-96-5",12132,60,"100%",0.038038,0.01225,0.01038,0.01493,45.1407,-93.222,"6010  -  Blaine",0.01224,0.0145,"Ncore","Anoka"
"27-003-1002","6010.12136.1",2013,6010,"6010.12136.1.2013","Blaine","Metro","Nickel","7440-02-0",12136,25,"42%",0.0019093,0.001042,0.0003144,0.001124,45.1407,-93.222,"6010  -  Blaine",0.001053,0.001127,"Ncore","Anoka"
